In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((189, 49152), (54, 49152), (27, 49152))
((189,), (54,), (27,))
n_train_samples: 189
n_valid_samples: 27
n_test_samples: 54
n_batches:
n_train_batches: 9
n_valid_batches: 1
n_test_batches: 2
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 9
 
('n_train_batches', 9)
('training @ iter = ', 0)
epoch 1, minibatch 9/9, validation error 40.000000 %, cost 1.788036
epoch 2, minibatch 9/9, validation error 40.000000 %, cost 0.666746
epoch 3, minibatch 9/9, validation error 40.000000 %, cost 0.678340
epoch 4, minibatch 9/9, validation error 45.000000 %, cost 0.698905
epoch 5, minibatch 9/9, validation error 40.000000 %, cost 0.683571
epoch 6, minibatch 9/9, validation error 40.000000 %, cost 0.681252
epoch 7, minibatch 9/9, validation error 40.000000 %, cost 0.682388
epoch 8, minibatch 9/9, validation error 40.000000 %, cost 0.675785
epoch 9, minibatch 9/9, validation error 40.000000 %, cost 0.675547
epoch 10, minibatch 9/9, validation error 40.000000 %, cost 0.664832
epoch 11, minibatch 9/9, validation error 40.000000 %, cost 0.672937
('training @ iter = ', 100)
epoch 12, minibatch 9/9, validation error 40.000000 %, cost 0.671703
epoch 13, minibatch 9/9, validation error 40.000000 %, cost 0.672682
epoch 14, minibatch 9/9, validation error 40.000000 %, cost 0.672883
epoch 15, minibatch 9/9, validation error 40.000000 %, cost 0.673357
epoch 16, minibatch 9/9, validation error 40.000000 %, cost 0.665851
epoch 17, minibatch 9/9, validation error 40.000000 %, cost 0.678555
epoch 18, minibatch 9/9, validation error 40.000000 %, cost 0.666129
epoch 19, minibatch 9/9, validation error 40.000000 %, cost 0.678088
epoch 20, minibatch 9/9, validation error 40.000000 %, cost 0.693193
epoch 21, minibatch 9/9, validation error 40.000000 %, cost 0.661685
epoch 22, minibatch 9/9, validation error 40.000000 %, cost 0.683057
('training @ iter = ', 200)
epoch 23, minibatch 9/9, validation error 40.000000 %, cost 0.695638
epoch 24, minibatch 9/9, validation error 40.000000 %, cost 0.683818
epoch 25, minibatch 9/9, validation error 40.000000 %, cost 0.688431
epoch 26, minibatch 9/9, validation error 40.000000 %, cost 0.687958
epoch 27, minibatch 9/9, validation error 40.000000 %, cost 0.669636
epoch 28, minibatch 9/9, validation error 40.000000 %, cost 0.674416
epoch 29, minibatch 9/9, validation error 40.000000 %, cost 0.689231
epoch 30, minibatch 9/9, validation error 40.000000 %, cost 0.690618
epoch 31, minibatch 9/9, validation error 40.000000 %, cost 0.660088
epoch 32, minibatch 9/9, validation error 40.000000 %, cost 0.669661
epoch 33, minibatch 9/9, validation error 40.000000 %, cost 0.639977
('training @ iter = ', 300)
epoch 34, minibatch 9/9, validation error 40.000000 %, cost 0.655738
epoch 35, minibatch 9/9, validation error 40.000000 %, cost 0.659257
epoch 36, minibatch 9/9, validation error 40.000000 %, cost 0.654827
epoch 37, minibatch 9/9, validation error 40.000000 %, cost 0.639943
epoch 38, minibatch 9/9, validation error 40.000000 %, cost 0.643743
epoch 39, minibatch 9/9, validation error 40.000000 %, cost 0.621977
epoch 40, minibatch 9/9, validation error 40.000000 %, cost 0.620864
epoch 41, minibatch 9/9, validation error 40.000000 %, cost 0.608075
epoch 42, minibatch 9/9, validation error 40.000000 %, cost 0.658021
epoch 43, minibatch 9/9, validation error 40.000000 %, cost 0.648085
epoch 44, minibatch 9/9, validation error 40.000000 %, cost 0.596155
('training @ iter = ', 400)
epoch 45, minibatch 9/9, validation error 40.000000 %, cost 0.614543
epoch 46, minibatch 9/9, validation error 40.000000 %, cost 0.612713
epoch 47, minibatch 9/9, validation error 40.000000 %, cost 0.591046
epoch 48, minibatch 9/9, validation error 40.000000 %, cost 0.595403
epoch 49, minibatch 9/9, validation error 40.000000 %, cost 0.550771
epoch 50, minibatch 9/9, validation error 40.000000 %, cost 0.544761
epoch 51, minibatch 9/9, validation error 40.000000 %, cost 0.513534
epoch 52, minibatch 9/9, validation error 45.000000 %, cost 0.518690
epoch 53, minibatch 9/9, validation error 40.000000 %, cost 0.519546
epoch 54, minibatch 9/9, validation error 55.000000 %, cost 0.609911
epoch 55, minibatch 9/9, validation error 45.000000 %, cost 0.642449
('training @ iter = ', 500)
epoch 56, minibatch 9/9, validation error 40.000000 %, cost 0.462689
epoch 57, minibatch 9/9, validation error 60.000000 %, cost 0.723194
epoch 58, minibatch 9/9, validation error 40.000000 %, cost 0.630069
epoch 59, minibatch 9/9, validation error 40.000000 %, cost 0.473095
epoch 60, minibatch 9/9, validation error 40.000000 %, cost 0.486577
epoch 61, minibatch 9/9, validation error 40.000000 %, cost 0.506628
epoch 62, minibatch 9/9, validation error 35.000000 %, cost 0.364146
epoch 63, minibatch 9/9, validation error 40.000000 %, cost 0.463157
epoch 64, minibatch 9/9, validation error 40.000000 %, cost 0.596744
epoch 65, minibatch 9/9, validation error 40.000000 %, cost 0.417853
epoch 66, minibatch 9/9, validation error 45.000000 %, cost 0.377801
('training @ iter = ', 600)
epoch 67, minibatch 9/9, validation error 35.000000 %, cost 0.537467
epoch 68, minibatch 9/9, validation error 45.000000 %, cost 0.668330
epoch 69, minibatch 9/9, validation error 55.000000 %, cost 0.731195
epoch 70, minibatch 9/9, validation error 30.000000 %, cost 0.529272
epoch 71, minibatch 9/9, validation error 45.000000 %, cost 0.612943
epoch 72, minibatch 9/9, validation error 40.000000 %, cost 0.435471
epoch 73, minibatch 9/9, validation error 35.000000 %, cost 0.352578
epoch 74, minibatch 9/9, validation error 45.000000 %, cost 0.525886
epoch 75, minibatch 9/9, validation error 40.000000 %, cost 0.625389
epoch 76, minibatch 9/9, validation error 35.000000 %, cost 0.395021
epoch 77, minibatch 9/9, validation error 35.000000 %, cost 0.450228
('training @ iter = ', 700)
epoch 78, minibatch 9/9, validation error 40.000000 %, cost 0.204932
epoch 79, minibatch 9/9, validation error 35.000000 %, cost 0.452119
epoch 80, minibatch 9/9, validation error 30.000000 %, cost 0.360093
epoch 81, minibatch 9/9, validation error 30.000000 %, cost 0.150114
epoch 82, minibatch 9/9, validation error 45.000000 %, cost 0.274141
epoch 83, minibatch 9/9, validation error 30.000000 %, cost 0.262857
epoch 84, minibatch 9/9, validation error 40.000000 %, cost 0.725583
epoch 85, minibatch 9/9, validation error 35.000000 %, cost 0.180078
epoch 86, minibatch 9/9, validation error 45.000000 %, cost 0.278379
epoch 87, minibatch 9/9, validation error 45.000000 %, cost 0.927924
epoch 88, minibatch 9/9, validation error 35.000000 %, cost 0.325097
('training @ iter = ', 800)
epoch 89, minibatch 9/9, validation error 45.000000 %, cost 0.225776
epoch 90, minibatch 9/9, validation error 60.000000 %, cost 0.325997
epoch 91, minibatch 9/9, validation error 35.000000 %, cost 0.410118
epoch 92, minibatch 9/9, validation error 50.000000 %, cost 0.454951
epoch 93, minibatch 9/9, validation error 45.000000 %, cost 0.218181
epoch 94, minibatch 9/9, validation error 45.000000 %, cost 0.139579
epoch 95, minibatch 9/9, validation error 45.000000 %, cost 0.385948
epoch 96, minibatch 9/9, validation error 35.000000 %, cost 0.369921
epoch 97, minibatch 9/9, validation error 35.000000 %, cost 0.251333
epoch 98, minibatch 9/9, validation error 45.000000 %, cost 0.087438
epoch 99, minibatch 9/9, validation error 40.000000 %, cost 0.085930
epoch 100, minibatch 9/9, validation error 40.000000 %, cost 0.155901
('training @ iter = ', 900)
epoch 101, minibatch 9/9, validation error 40.000000 %, cost 0.028871
epoch 102, minibatch 9/9, validation error 40.000000 %, cost 0.015187
epoch 103, minibatch 9/9, validation error 40.000000 %, cost 2.135985
epoch 104, minibatch 9/9, validation error 40.000000 %, cost 0.662011
epoch 105, minibatch 9/9, validation error 40.000000 %, cost 0.668789
epoch 106, minibatch 9/9, validation error 40.000000 %, cost 0.671897
epoch 107, minibatch 9/9, validation error 40.000000 %, cost 0.659174
epoch 108, minibatch 9/9, validation error 40.000000 %, cost 0.651423
epoch 109, minibatch 9/9, validation error 40.000000 %, cost 0.662105
epoch 110, minibatch 9/9, validation error 40.000000 %, cost 0.627373
epoch 111, minibatch 9/9, validation error 40.000000 %, cost 0.606894
('training @ iter = ', 1000)
epoch 112, minibatch 9/9, validation error 45.000000 %, cost 0.513035
epoch 113, minibatch 9/9, validation error 35.000000 %, cost 0.589962
epoch 114, minibatch 9/9, validation error 45.000000 %, cost 0.436695
epoch 115, minibatch 9/9, validation error 45.000000 %, cost 0.488092
epoch 116, minibatch 9/9, validation error 35.000000 %, cost 0.350461
epoch 117, minibatch 9/9, validation error 35.000000 %, cost 0.836291
epoch 118, minibatch 9/9, validation error 40.000000 %, cost 1.191459
epoch 119, minibatch 9/9, validation error 40.000000 %, cost 0.619544
epoch 120, minibatch 9/9, validation error 30.000000 %, cost 0.499940
epoch 121, minibatch 9/9, validation error 55.000000 %, cost 0.573393
epoch 122, minibatch 9/9, validation error 35.000000 %, cost 0.396681
('training @ iter = ', 1100)
epoch 123, minibatch 9/9, validation error 40.000000 %, cost 0.238036
epoch 124, minibatch 9/9, validation error 40.000000 %, cost 0.542177
epoch 125, minibatch 9/9, validation error 40.000000 %, cost 0.579629
epoch 126, minibatch 9/9, validation error 30.000000 %, cost 0.464985
epoch 127, minibatch 9/9, validation error 40.000000 %, cost 0.512409
epoch 128, minibatch 9/9, validation error 35.000000 %, cost 0.424526
epoch 129, minibatch 9/9, validation error 30.000000 %, cost 0.568514
epoch 130, minibatch 9/9, validation error 40.000000 %, cost 0.208156
epoch 131, minibatch 9/9, validation error 40.000000 %, cost 0.365002
epoch 132, minibatch 9/9, validation error 40.000000 %, cost 0.306405
epoch 133, minibatch 9/9, validation error 40.000000 %, cost 0.894911
('training @ iter = ', 1200)
epoch 134, minibatch 9/9, validation error 35.000000 %, cost 0.256695
epoch 135, minibatch 9/9, validation error 30.000000 %, cost 0.232481
epoch 136, minibatch 9/9, validation error 45.000000 %, cost 0.761594
epoch 137, minibatch 9/9, validation error 40.000000 %, cost 0.504724
epoch 138, minibatch 9/9, validation error 35.000000 %, cost 0.368775
epoch 139, minibatch 9/9, validation error 40.000000 %, cost 0.506362
epoch 140, minibatch 9/9, validation error 40.000000 %, cost 0.072301
epoch 141, minibatch 9/9, validation error 35.000000 %, cost 0.017770
epoch 142, minibatch 9/9, validation error 40.000000 %, cost 0.123334
epoch 143, minibatch 9/9, validation error 40.000000 %, cost 0.141616
epoch 144, minibatch 9/9, validation error 35.000000 %, cost 0.433454
('training @ iter = ', 1300)
epoch 145, minibatch 9/9, validation error 30.000000 %, cost 0.301936
epoch 146, minibatch 9/9, validation error 40.000000 %, cost 0.048061
epoch 147, minibatch 9/9, validation error 40.000000 %, cost 0.839836
epoch 148, minibatch 9/9, validation error 40.000000 %, cost 0.655235
epoch 149, minibatch 9/9, validation error 45.000000 %, cost 0.543290
