Using gpu device 0: GeForce GTX 750 Ti (CNMeM is disabled, cuDNN not available)
In this file are the results of using imagenet architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu.
The weights inizialization is the default in lenet
The configuration of the net is (learning_rate=0.01, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=25):
There is not early stop
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((189, 49152), (54, 49152), (27, 49152))
((189,), (54,), (27,))
n_train_samples: 189
n_valid_samples: 27
n_test_samples: 54
n_batches:
n_train_batches: 7
n_valid_batches: 1
n_test_batches: 2
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 7
 
('n_train_batches', 7)
('training @ iter = ', 0)
epoch 1, minibatch 7/7, validation error 40.000000 %, cost 0.671528
epoch 2, minibatch 7/7, validation error 40.000000 %, cost 0.673261
epoch 3, minibatch 7/7, validation error 40.000000 %, cost 0.658804
epoch 4, minibatch 7/7, validation error 40.000000 %, cost 0.651100
epoch 5, minibatch 7/7, validation error 40.000000 %, cost 0.654832
epoch 6, minibatch 7/7, validation error 40.000000 %, cost 0.653524
epoch 7, minibatch 7/7, validation error 40.000000 %, cost 0.636786
epoch 8, minibatch 7/7, validation error 40.000000 %, cost 0.631889
epoch 9, minibatch 7/7, validation error 40.000000 %, cost 0.649024
epoch 10, minibatch 7/7, validation error 40.000000 %, cost 0.649297
epoch 11, minibatch 7/7, validation error 40.000000 %, cost 0.637595
epoch 12, minibatch 7/7, validation error 40.000000 %, cost 0.649087
epoch 13, minibatch 7/7, validation error 40.000000 %, cost 0.645519
epoch 14, minibatch 7/7, validation error 40.000000 %, cost 0.653379
('training @ iter = ', 100)
epoch 15, minibatch 7/7, validation error 40.000000 %, cost 0.656923
epoch 16, minibatch 7/7, validation error 40.000000 %, cost 0.649815
epoch 17, minibatch 7/7, validation error 40.000000 %, cost 0.641794
epoch 18, minibatch 7/7, validation error 40.000000 %, cost 0.656000
epoch 19, minibatch 7/7, validation error 40.000000 %, cost 0.660151
epoch 20, minibatch 7/7, validation error 40.000000 %, cost 0.656215
epoch 21, minibatch 7/7, validation error 40.000000 %, cost 0.665817
epoch 22, minibatch 7/7, validation error 40.000000 %, cost 0.654132
epoch 23, minibatch 7/7, validation error 40.000000 %, cost 0.675113
epoch 24, minibatch 7/7, validation error 40.000000 %, cost 0.667605
epoch 25, minibatch 7/7, validation error 40.000000 %, cost 0.673244
epoch 26, minibatch 7/7, validation error 40.000000 %, cost 0.681364
epoch 27, minibatch 7/7, validation error 40.000000 %, cost 0.684382
epoch 28, minibatch 7/7, validation error 40.000000 %, cost 0.692536
('training @ iter = ', 200)
epoch 29, minibatch 7/7, validation error 40.000000 %, cost 0.659450
epoch 30, minibatch 7/7, validation error 40.000000 %, cost 0.700436
epoch 31, minibatch 7/7, validation error 40.000000 %, cost 0.697604
epoch 32, minibatch 7/7, validation error 40.000000 %, cost 0.677586
epoch 33, minibatch 7/7, validation error 40.000000 %, cost 0.676240
epoch 34, minibatch 7/7, validation error 40.000000 %, cost 0.685515
epoch 35, minibatch 7/7, validation error 40.000000 %, cost 0.674965
epoch 36, minibatch 7/7, validation error 40.000000 %, cost 0.679815
epoch 37, minibatch 7/7, validation error 40.000000 %, cost 0.675750
epoch 38, minibatch 7/7, validation error 40.000000 %, cost 0.694943
epoch 39, minibatch 7/7, validation error 40.000000 %, cost 0.687244
epoch 40, minibatch 7/7, validation error 40.000000 %, cost 0.639355
epoch 41, minibatch 7/7, validation error 40.000000 %, cost 0.673626
epoch 42, minibatch 7/7, validation error 40.000000 %, cost 0.705359
('training @ iter = ', 300)
epoch 43, minibatch 7/7, validation error 40.000000 %, cost 0.680920
epoch 44, minibatch 7/7, validation error 40.000000 %, cost 0.693322
