In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu.
The weights inizialization is the default in lenet
The configuration of the net is (learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=25):
There is not early stop
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((189, 49152), (54, 49152), (27, 49152))
((189,), (54,), (27,))
n_train_samples: 189
n_valid_samples: 27
n_test_samples: 54
n_batches:
n_train_batches: 7
n_valid_batches: 1
n_test_batches: 2
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 7
 
('n_train_batches', 7)
('training @ iter = ', 0)
epoch 1, minibatch 7/7, validation error 44.000000 %, cost 0.667284
epoch 2, minibatch 7/7, validation error 40.000000 %, cost 0.725528
epoch 3, minibatch 7/7, validation error 40.000000 %, cost 0.739788
epoch 4, minibatch 7/7, validation error 40.000000 %, cost 0.748189
epoch 5, minibatch 7/7, validation error 40.000000 %, cost 0.759591
epoch 6, minibatch 7/7, validation error 40.000000 %, cost 0.753632
epoch 7, minibatch 7/7, validation error 40.000000 %, cost 0.768174
epoch 8, minibatch 7/7, validation error 40.000000 %, cost 0.760835
epoch 9, minibatch 7/7, validation error 40.000000 %, cost 0.753002
epoch 10, minibatch 7/7, validation error 40.000000 %, cost 0.730024
epoch 11, minibatch 7/7, validation error 40.000000 %, cost 0.716696
epoch 12, minibatch 7/7, validation error 40.000000 %, cost 0.717558
epoch 13, minibatch 7/7, validation error 40.000000 %, cost 0.711195
epoch 14, minibatch 7/7, validation error 40.000000 %, cost 0.699670
('training @ iter = ', 100)
epoch 15, minibatch 7/7, validation error 40.000000 %, cost 0.712243
epoch 16, minibatch 7/7, validation error 40.000000 %, cost 0.675098
epoch 17, minibatch 7/7, validation error 44.000000 %, cost 0.658500
epoch 18, minibatch 7/7, validation error 48.000000 %, cost 0.649867
epoch 19, minibatch 7/7, validation error 52.000000 %, cost 0.700378
epoch 20, minibatch 7/7, validation error 48.000000 %, cost 0.605617
epoch 21, minibatch 7/7, validation error 48.000000 %, cost 0.603805
epoch 22, minibatch 7/7, validation error 44.000000 %, cost 0.595574
epoch 23, minibatch 7/7, validation error 40.000000 %, cost 0.597352
epoch 24, minibatch 7/7, validation error 40.000000 %, cost 0.595789
epoch 25, minibatch 7/7, validation error 40.000000 %, cost 0.551417
epoch 26, minibatch 7/7, validation error 56.000000 %, cost 0.508635
epoch 27, minibatch 7/7, validation error 52.000000 %, cost 0.532712
epoch 28, minibatch 7/7, validation error 52.000000 %, cost 0.508373
('training @ iter = ', 200)
epoch 29, minibatch 7/7, validation error 52.000000 %, cost 0.523328
epoch 30, minibatch 7/7, validation error 52.000000 %, cost 0.551604
epoch 31, minibatch 7/7, validation error 52.000000 %, cost 0.497950
epoch 32, minibatch 7/7, validation error 52.000000 %, cost 0.476640
epoch 33, minibatch 7/7, validation error 52.000000 %, cost 0.456397
epoch 34, minibatch 7/7, validation error 52.000000 %, cost 0.452435
epoch 35, minibatch 7/7, validation error 60.000000 %, cost 0.509300
epoch 36, minibatch 7/7, validation error 36.000000 %, cost 0.470954
epoch 37, minibatch 7/7, validation error 52.000000 %, cost 0.448937
epoch 38, minibatch 7/7, validation error 44.000000 %, cost 0.433747
epoch 39, minibatch 7/7, validation error 40.000000 %, cost 0.430729
epoch 40, minibatch 7/7, validation error 56.000000 %, cost 0.359657
epoch 41, minibatch 7/7, validation error 48.000000 %, cost 0.346484
epoch 42, minibatch 7/7, validation error 36.000000 %, cost 0.356277
('training @ iter = ', 300)
epoch 43, minibatch 7/7, validation error 52.000000 %, cost 0.360900
epoch 44, minibatch 7/7, validation error 48.000000 %, cost 0.392202
epoch 45, minibatch 7/7, validation error 44.000000 %, cost 0.325796
epoch 46, minibatch 7/7, validation error 52.000000 %, cost 0.380687
epoch 47, minibatch 7/7, validation error 48.000000 %, cost 0.348468
epoch 48, minibatch 7/7, validation error 40.000000 %, cost 0.316392
epoch 49, minibatch 7/7, validation error 36.000000 %, cost 0.293286
epoch 50, minibatch 7/7, validation error 36.000000 %, cost 0.250761
epoch 51, minibatch 7/7, validation error 32.000000 %, cost 0.244600
epoch 52, minibatch 7/7, validation error 36.000000 %, cost 0.285345
epoch 53, minibatch 7/7, validation error 44.000000 %, cost 0.267727
epoch 54, minibatch 7/7, validation error 44.000000 %, cost 0.261468
epoch 55, minibatch 7/7, validation error 40.000000 %, cost 0.226642
epoch 56, minibatch 7/7, validation error 56.000000 %, cost 0.343741
epoch 57, minibatch 7/7, validation error 40.000000 %, cost 0.263111
('training @ iter = ', 400)
epoch 58, minibatch 7/7, validation error 36.000000 %, cost 0.240831
epoch 59, minibatch 7/7, validation error 44.000000 %, cost 0.271862
epoch 60, minibatch 7/7, validation error 40.000000 %, cost 0.247927
epoch 61, minibatch 7/7, validation error 36.000000 %, cost 0.164771
epoch 62, minibatch 7/7, validation error 40.000000 %, cost 0.198656
epoch 63, minibatch 7/7, validation error 44.000000 %, cost 0.192639
epoch 64, minibatch 7/7, validation error 52.000000 %, cost 0.253953
epoch 65, minibatch 7/7, validation error 36.000000 %, cost 0.164443
epoch 66, minibatch 7/7, validation error 40.000000 %, cost 0.198558
epoch 67, minibatch 7/7, validation error 40.000000 %, cost 0.140691
epoch 68, minibatch 7/7, validation error 44.000000 %, cost 0.212762
epoch 69, minibatch 7/7, validation error 40.000000 %, cost 0.195813
epoch 70, minibatch 7/7, validation error 40.000000 %, cost 0.202706
epoch 71, minibatch 7/7, validation error 36.000000 %, cost 0.109546
('training @ iter = ', 500)
epoch 72, minibatch 7/7, validation error 48.000000 %, cost 0.234476
epoch 73, minibatch 7/7, validation error 32.000000 %, cost 0.198537
epoch 74, minibatch 7/7, validation error 36.000000 %, cost 0.130591
epoch 75, minibatch 7/7, validation error 44.000000 %, cost 0.161978
epoch 76, minibatch 7/7, validation error 40.000000 %, cost 0.149312
epoch 77, minibatch 7/7, validation error 36.000000 %, cost 0.126255
