In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu.
The configuration of the net is learning_rate=0.001, n_epochs=200, nkerns=[96, 256, 386, 384, 256], batch_size=20
Patience has been increased from patience = 10000 to patience = 100000 
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((189, 49152), (54, 49152), (27, 49152))
((189,), (54,), (27,))
n_train_samples: 189
n_valid_samples: 27
n_test_samples: 54
n_batches:
n_train_batches: 7
n_valid_batches: 1
n_test_batches: 2
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 7
 
('n_train_batches', 7)
('training @ iter = ', 0)
epoch 1, minibatch 7/7, validation error 60.000000 %, cost 0.719948
epoch 2, minibatch 7/7, validation error 48.000000 %, cost 0.762886
epoch 3, minibatch 7/7, validation error 40.000000 %, cost 0.777218
epoch 4, minibatch 7/7, validation error 40.000000 %, cost 0.784346
epoch 5, minibatch 7/7, validation error 40.000000 %, cost 0.803553
epoch 6, minibatch 7/7, validation error 40.000000 %, cost 0.810274
epoch 7, minibatch 7/7, validation error 40.000000 %, cost 0.805834
epoch 8, minibatch 7/7, validation error 40.000000 %, cost 0.813283
epoch 9, minibatch 7/7, validation error 40.000000 %, cost 0.794293
epoch 10, minibatch 7/7, validation error 40.000000 %, cost 0.789013
epoch 11, minibatch 7/7, validation error 40.000000 %, cost 0.776336
epoch 12, minibatch 7/7, validation error 40.000000 %, cost 0.759919
epoch 13, minibatch 7/7, validation error 40.000000 %, cost 0.793188
epoch 14, minibatch 7/7, validation error 40.000000 %, cost 0.783461
('training @ iter = ', 100)
epoch 15, minibatch 7/7, validation error 40.000000 %, cost 0.765591
epoch 16, minibatch 7/7, validation error 40.000000 %, cost 0.752693
epoch 17, minibatch 7/7, validation error 40.000000 %, cost 0.749897
epoch 18, minibatch 7/7, validation error 40.000000 %, cost 0.737311
epoch 19, minibatch 7/7, validation error 40.000000 %, cost 0.792706
epoch 20, minibatch 7/7, validation error 40.000000 %, cost 0.732455
epoch 21, minibatch 7/7, validation error 40.000000 %, cost 0.721155
epoch 22, minibatch 7/7, validation error 40.000000 %, cost 0.706449
epoch 23, minibatch 7/7, validation error 40.000000 %, cost 0.691844
epoch 24, minibatch 7/7, validation error 40.000000 %, cost 0.729390
