In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((189, 49152), (54, 49152), (27, 49152))
((189,), (54,), (27,))
n_train_samples: 189
n_valid_samples: 27
n_test_samples: 54
n_batches:
n_train_batches: 9
n_valid_batches: 1
n_test_batches: 2
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 9
 
('n_train_batches', 9)
('training @ iter = ', 0)
epoch 1, minibatch 9/9, validation error 40.000000 %, cost 1.788036
epoch 2, minibatch 9/9, validation error 40.000000 %, cost 0.671271
epoch 3, minibatch 9/9, validation error 40.000000 %, cost 0.688930
epoch 4, minibatch 9/9, validation error 40.000000 %, cost 0.681820
epoch 5, minibatch 9/9, validation error 40.000000 %, cost 0.678971
epoch 6, minibatch 9/9, validation error 40.000000 %, cost 0.685134
epoch 7, minibatch 9/9, validation error 40.000000 %, cost 0.679569
epoch 8, minibatch 9/9, validation error 40.000000 %, cost 0.677832
epoch 9, minibatch 9/9, validation error 40.000000 %, cost 0.682035
epoch 10, minibatch 9/9, validation error 40.000000 %, cost 0.677363
epoch 11, minibatch 9/9, validation error 40.000000 %, cost 0.672407
('training @ iter = ', 100)
epoch 12, minibatch 9/9, validation error 40.000000 %, cost 0.675617
epoch 13, minibatch 9/9, validation error 40.000000 %, cost 0.668718
epoch 14, minibatch 9/9, validation error 40.000000 %, cost 0.673342
epoch 15, minibatch 9/9, validation error 40.000000 %, cost 0.671385
epoch 16, minibatch 9/9, validation error 40.000000 %, cost 0.668287
epoch 17, minibatch 9/9, validation error 40.000000 %, cost 0.666522
epoch 18, minibatch 9/9, validation error 40.000000 %, cost 0.669216
epoch 19, minibatch 9/9, validation error 40.000000 %, cost 0.673279
